country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Finland,7.632,0.874,0.681,0.393,0.202
Norway,7.594,0.861,0.686,0.34,0.286
Denmark,7.555,0.868,0.683,0.408,0.284
Iceland,7.495,0.914,0.677,0.138,0.353
Switzerland,7.487,0.927,0.66,0.357,0.256
Netherlands,7.441,0.878,0.638,0.295,0.333
Canada,7.328,0.896,0.653,0.291,0.321
New Zealand,7.324,0.876,0.669,0.389,0.365
Sweden,7.314,0.913,0.659,0.383,0.285
Australia,7.272,0.91,0.647,0.302,0.361
United Kingdom,7.19,0.888,0.464,0.082,0.262
Austria,7.139,0.891,0.617,0.224,0.242
Costa Rica,7.072,0.817,0.632,0.101,0.143
Ireland,6.977,0.876,0.614,0.306,0.307
Germany,6.965,0.861,0.586,0.28,0.273
Belgium,6.927,0.894,0.583,0.24,0.188
Luxembourg,6.91,0.896,0.632,0.321,0.196
United States,6.886,0.819,0.547,0.133,0.291
Israel,6.814,0.883,0.533,0.272,0.354
United Arab Emirates,6.774,0.67,0.284,N/A,0.186
Czech Republic,6.711,0.854,0.543,0.034,0.064
Malta,6.627,0.884,0.645,0.142,0.376
France,6.489,0.908,0.52,0.176,0.098
Mexico,6.488,0.761,0.479,0.095,0.069
Chile,6.476,0.808,0.431,0.061,0.197
Taiwan,6.441,0.857,0.418,0.078,0.151
Panama,6.43,0.759,0.597,0.063,0.125
Brazil,6.419,0.675,0.493,0.088,0.11
Argentina,6.388,0.744,0.57,0.054,0.062
Guatemala,6.382,0.608,0.604,0.071,0.179
Uruguay,6.379,0.771,0.625,0.155,0.13
Qatar,6.374,0.748,0.654,0.171,0.256
Saudi Arabia,6.371,0.633,0.509,0.127,0.098
Singapore,6.343,1.008,0.631,0.457,0.261
Malaysia,6.322,0.669,0.356,0.059,0.311
Spain,6.31,0.965,0.449,0.074,0.142
Colombia,6.26,0.635,0.531,0.039,0.099
Trinidad & Tobago,6.192,0.564,0.575,0.019,0.171
Slovakia,6.173,0.776,0.354,0.014,0.118
El Salvador,6.167,0.639,0.461,0.082,0.065
Nicaragua,6.141,0.7,0.527,0.128,0.208
Poland,6.123,0.781,0.546,0.064,0.108
Bahrain,6.105,0.698,0.594,0.123,0.243
Uzbekistan,6.096,0.605,0.724,0.259,0.328
Kuwait,6.083,0.675,0.554,0.106,0.167
Thailand,6.072,0.707,0.637,0.029,0.364
Italy,6,0.946,0.281,0.028,0.137
Ecuador,5.973,0.736,0.556,0.12,0.114
Belize,5.956,0.474,0.593,0.089,0.183
Lithuania,5.952,0.716,0.35,0.006,0.026
Slovenia,5.948,0.856,0.633,0.051,0.16
Romania,5.945,0.726,0.528,0.001,0.088
Latvia,5.933,0.671,0.363,0.066,0.092
Japan,5.915,0.988,0.553,0.15,0.079
Mauritius,5.891,0.684,0.584,0.05,0.245
Jamaica,5.89,0.693,0.575,0.031,0.096
South Korea,5.875,0.955,0.244,0.051,0.175
Northern Cyprus,5.835,0.909,0.495,0.154,0.179
Russia,5.81,0.599,0.399,0.025,0.065
Kazakhstan,5.79,0.631,0.454,0.121,0.148
Cyprus,5.762,0.909,0.423,0.035,0.202
Bolivia,5.752,0.508,0.606,0.054,0.141
Estonia,5.739,0.737,0.553,0.174,0.086
Paraguay,5.681,0.615,0.541,0.074,0.162
Peru,5.663,0.674,0.53,0.034,0.092
Kosovo,5.662,0.578,0.448,0.023,0.274
Moldova,5.64,0.62,0.232,0,0.171
Turkmenistan,5.636,0.517,0.417,0.037,0.199
Hungary,5.62,0.732,0.259,0.022,0.061
Libya,5.566,0.553,0.496,0.148,0.116
Philippines,5.524,0.513,0.643,0.105,0.12
Honduras,5.504,0.622,0.459,0.074,0.197
Belarus,5.483,0.7,0.307,0.154,0.101
Turkey,5.483,0.686,0.324,0.109,0.106
