country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Denmark,7.526,0.79504,0.57941,0.44453,0.36171
Switzerland,7.509,0.86303,0.58557,0.41203,0.28083
Iceland,7.501,0.86733,0.56624,0.14975,0.47678
Norway,7.498,0.79579,0.59609,0.35776,0.37895
Finland,7.413,0.81091,0.57104,0.41004,0.25492
Canada,7.404,0.8276,0.5737,0.31329,0.44834
Netherlands,7.339,0.81231,0.55211,0.29927,0.47416
New Zealand,7.334,0.83096,0.58147,0.41904,0.49401
Australia,7.313,0.8512,0.56837,0.32331,0.47407
Sweden,7.291,0.83121,0.58218,0.40867,0.38254
Israel,7.267,0.84917,0.36432,0.08728,0.32288
Austria,7.119,0.80565,0.54355,0.21348,0.32865
United States,7.104,0.779,0.48163,0.14868,0.41077
Costa Rica,7.087,0.76146,0.55225,0.10547,0.22553
Puerto Rico,7.039,0.77758,0.46823,0.12275,0.22202
Germany,6.994,0.81487,0.53466,0.28551,0.30452
Brazil,6.952,0.61415,0.40425,0.14166,0.15776
Belgium,6.929,0.81959,0.51354,0.26248,0.2424
Ireland,6.907,0.81455,0.54008,0.29754,0.44963
Luxembourg,6.871,0.84542,0.5487,0.35329,0.27571
Mexico,6.778,0.71143,0.37709,0.18355,0.11735
Singapore,6.739,0.94719,0.4877,0.46987,0.32706
United Kingdom,6.725,0.80991,0.50036,0.27399,0.50156
Chile,6.705,0.81883,0.37789,0.11451,0.31595
Panama,6.701,0.70835,0.48927,0.08423,0.2418
Argentina,6.65,0.69711,0.42284,0.07296,0.10989
Czech Republic,6.596,0.76376,0.41418,0.03986,0.09929
United Arab Emirates,6.573,0.72993,0.56215,0.35561,0.26591
Uruguay,6.545,0.72183,0.54388,0.21394,0.18056
Malta,6.488,0.80315,0.54994,0.17554,0.56237
Colombia,6.481,0.59659,0.44735,0.05399,0.15626
France,6.478,0.83795,0.46562,0.17808,0.1216
Thailand,6.474,0.64915,0.49553,0.02833,0.58696
Saudi Arabia,6.379,0.59267,0.37904,0.30008,0.15457
Taiwan,6.379,0.79565,0.32377,0.0663,0.25495
Qatar,6.375,0.71723,0.56679,0.48049,0.32388
Spain,6.361,0.87896,0.37545,0.06137,0.17665
Algeria,6.355,0.61804,0.21006,0.16157,0.07044
Guatemala,6.324,0.54039,0.50379,0.08701,0.28808
Suriname,6.269,0.50933,0.52234,0.12692,0.16665
Kuwait,6.239,0.63569,0.43166,0.23669,0.15965
Bahrain,6.218,0.65696,0.47375,0.25772,0.17147
Trinidad and Tobago,6.168,0.52608,0.48453,0.01241,0.31935
Venezuela,6.084,0.61904,0.19847,0.08304,0.0425
Slovakia,6.078,0.70367,0.23391,0.02947,0.13837
El Salvador,6.068,0.596,0.37269,0.10613,0.08877
Malaysia,6.005,0.62366,0.39031,0.09081,0.41474
Nicaragua,5.992,0.65213,0.46582,0.16292,0.29773
Uzbekistan,5.987,0.50163,0.60848,0.28333,0.34326
Italy,5.977,0.85102,0.18827,0.02556,0.16684
Ecuador,5.976,0.68613,0.4027,0.18037,0.10074
Belize,5.956,0.45569,0.51231,0.10771,0.23684
Japan,5.921,0.91491,0.46761,0.18985,0.10224
Kazakhstan,5.919,0.57386,0.4052,0.11132,0.15011
Moldova,5.897,0.52309,0.25202,0.01903,0.19997
Russia,5.856,0.58991,0.32682,0.03586,0.02736
Poland,5.835,0.69058,0.4519,0.055,0.14443
South Korea,5.835,0.88645,0.25168,0.07716,0.18824
Bolivia,5.822,0.4697,0.50961,0.07746,0.21698
Lithuania,5.813,0.64674,0.18929,0.0182,0.02025
Belarus,5.802,0.63104,0.29091,0.17457,0.13942
North Cyprus,5.771,0.84142,0.43596,0.16578,0.26322
Slovenia,5.768,0.79151,0.53164,0.03635,0.25738
Peru,5.743,0.62994,0.37502,0.05292,0.14527
Turkmenistan,5.658,0.44006,0.37408,0.28467,0.22567
Mauritius,5.648,0.66189,0.46145,0.05203,0.36951
Libya,5.615,0.52304,0.40672,0.10339,0.17087
Latvia,5.56,0.63952,0.27996,0.0889,0.17445
Cyprus,5.546,0.8488,0.29507,0.05228,0.27906
Paraguay,5.538,0.58295,0.46235,0.07396,0.25296
Romania,5.528,0.67602,0.36712,0.00679,0.12889
Estonia,5.517,0.68098,0.41511,0.18519,0.08423
Jamaica,5.51,0.59469,0.43597,0.04294,0.22245
Croatia,5.488,0.70524,0.23907,0.04002,0.18434
Hong Kong,5.458,0.95277,0.48079,0.31647,0.40097
Somalia,5.44,0.11466,0.56778,0.3118,0.27225
Kosovo,5.401,0.54,0.14396,0.06547,0.27992
Turkey,5.389,0.64718,0.23889,0.12348,0.04707
Indonesia,5.314,0.49374,0.39237,0.00322,0.56521
Jordan,5.303,0.60712,0.36023,0.13297,0.14262
Azerbaijan,5.291,0.54504,0.35327,0.17914,0.0564
Philippines,5.279,0.47036,0.54854,0.11757,0.21674
China,5.245,0.73561,0.44012,0.02745,0.04959
Bhutan,5.196,0.49759,0.46074,0.1616,0.48546
Kyrgyzstan,5.185,0.55449,0.40212,0.04762,0.38432
Serbia,5.177,0.6458,0.15718,0.04339,0.20737
Bosnia and Herzegovina,5.163,0.70766,0.09511,0,0.29889
Montenegro,5.161,0.63533,0.15111,0.12721,0.17191
Dominican Republic,5.155,0.57669,0.52259,0.12372,0.21286
Morocco,5.151,0.59471,0.25646,0.08404,0.04053
Hungary,5.145,0.67608,0.1977,0.04472,0.099
Pakistan,5.132,0.40306,0.14622,0.1388,0.31185
Lebanon,5.129,0.76171,0.26228,0.03061,0.23693
Portugal,5.123,0.79363,0.44727,0.01521,0.11691
Macedonia,5.121,0.64738,0.27668,0.07047,0.23507
Vietnam,5.061,0.66157,0.55954,0.11556,0.25075
Somaliland Region,5.057,0.33108,0.3913,0.36794,0.51479
Tunisia,5.045,0.59577,0.23553,0.0817,0.03936
Greece,5.033,0.80029,0.05822,0.04127,0
Tajikistan,4.996,0.53119,0.43408,0.13509,0.25998
Mongolia,4.907,0.55469,0.35972,0.03285,0.34539
Laos,4.876,0.38291,0.52168,0.22423,0.43079
Nigeria,4.875,0.05108,0.27854,0.0305,0.23219
Honduras,4.871,0.58383,0.26755,0.06906,0.2044
Iran,4.813,0.64232,0.22544,0.0557,0.38538
Zambia,4.795,0.23573,0.42662,0.11479,0.17866
Nepal,4.793,0.50073,0.37012,0.07008,0.3816
Palestinian Territories,4.754,0.56844,0.17744,0.10613,0.11154
Albania,4.655,0.73007,0.31866,0.05301,0.1684
Bangladesh,4.643,0.52989,0.39778,0.12583,0.19132
Sierra Leone,4.635,0,0.30685,0.08196,0.23897
Iraq,4.575,0.51076,0.24856,0.13636,0.19589
Namibia,4.574,0.34745,0.48614,0.10398,0.07795
Cameroon,4.513,0.12698,0.42736,0.06126,0.2268
Ethiopia,4.508,0.34578,0.36703,0.1717,0.29522
South Africa,4.459,0.18611,0.42483,0.08415,0.13656
